"Code";"Name";"grand total;2020;[PLN]";"average monthly gross wages and salary in relation to the average domestic (Poland = 100);2020;[%]";
0000000;"POLAND";5523.32;100.0;
0200000;"DOLNOŚLĄSKIE";5693.69;103.1;
0400000;"KUJAWSKO-POMORSKIE";4831.73;87.5;
0600000;"LUBELSKIE";4914.95;89.0;
0800000;"LUBUSKIE";4832.07;87.5;
1000000;"ŁÓDZKIE";5148.38;93.2;
1200000;"MAŁOPOLSKIE";5536.07;100.2;
1400000;"MAZOWIECKIE";6581.81;119.2;
1600000;"OPOLSKIE";5078.51;91.9;
1800000;"PODKARPACKIE";4707.81;85.2;
2000000;"PODLASKIE";4929.64;89.3;
2200000;"POMORSKIE";5484.46;99.3;
2400000;"ŚLĄSKIE";5450.86;98.7;
2600000;"ŚWIĘTOKRZYSKIE";4800.21;86.9;
2800000;"WARMIŃSKO-MAZURSKIE";4709.12;85.3;
3000000;"WIELKOPOLSKIE";4985.75;90.3;
3200000;"ZACHODNIOPOMORSKIE";5099.49;92.3;
