"Code";"Name";"forests, grand total;2020;[ha]";
0000000;"POLAND";9260266.62;
0200000;"DOLNOŚLĄSKIE";595570.06;
0400000;"KUJAWSKO-POMORSKIE";422240.61;
0600000;"LUBELSKIE";587388.69;
0800000;"LUBUSKIE";689968.70;
1000000;"ŁÓDZKIE";390186.56;
1200000;"MAŁOPOLSKIE";434482.14;
1400000;"MAZOWIECKIE";833293.68;
1600000;"OPOLSKIE";251001.03;
1800000;"PODKARPACKIE";682094.57;
2000000;"PODLASKIE";624850.29;
2200000;"POMORSKIE";667165.19;
2400000;"ŚLĄSKIE";395776.50;
2600000;"ŚWIĘTOKRZYSKIE";331282.66;
2800000;"WARMIŃSKO-MAZURSKIE";766866.15;
3000000;"WIELKOPOLSKIE";769020.79;
3200000;"ZACHODNIOPOMORSKIE";819079.00;
