"Code";"Name";"total in ha;2021;[ha]";"total in % (Poland = 100%);2021;[%]";"utilised agricultural area;2021;[%]";"forests;2021;[%]";"residential areas;2021;[%]";"industrial lands;2021;[%]";"recreational and rest areas;2021;[%]";"lands under waters;2021;[%]";"wasteland;2021;[%]";"other area;2021;[%]";
0000000;"POLAND";31270627;100.0;59.9;30.2;1.2;0.4;0.2;2.1;1.5;4.5;
0200000;"DOLNOŚLĄSKIE";1994670;6.4;59.4;30.7;1.3;0.8;0.4;0.9;0.6;5.9;
0400000;"KUJAWSKO-POMORSKIE";1797210;5.7;64.8;23.9;1.2;0.4;0.2;2.7;2.3;4.4;
0600000;"LUBELSKIE";2512251;8.0;70.2;23.4;0.5;0.2;0.1;0.8;0.9;3.9;
0800000;"LUBUSKIE";1398801;4.5;40.5;50.9;0.8;0.3;0.3;1.8;1.2;4.3;
1000000;"ŁÓDZKIE";1821900;5.8;70.3;21.6;1.4;0.4;0.2;0.7;0.8;4.6;
1200000;"MAŁOPOLSKIE";1518279;4.9;60.3;29.1;1.9;0.6;0.2;1.5;0.7;5.7;
1400000;"MAZOWIECKIE";3555847;11.4;67.7;23.6;1.6;0.4;0.1;1.2;1.0;4.4;
1600000;"OPOLSKIE";941187;3.0;63.9;27.6;1.2;0.5;0.4;1.4;0.4;4.7;
1800000;"PODKARPACKIE";1784576;5.7;53.8;38.7;1.0;0.3;0.2;1.2;0.6;4.1;
2000000;"PODLASKIE";2018704;6.5;60.2;31.4;0.4;0.2;0.1;1.4;2.7;3.7;
2200000;"POMORSKIE";1832368;5.9;50.0;37.3;1.3;0.3;0.2;4.2;2.2;4.4;
2400000;"ŚLĄSKIE";1233309;3.9;50.4;32.8;4.5;1.8;0.7;1.5;1.1;7.3;
2600000;"ŚWIĘTOKRZYSKIE";1171050;3.7;64.6;28.8;0.9;0.3;0.1;0.8;0.7;3.8;
2800000;"WARMIŃSKO-MAZURSKIE";2417347;7.7;54.3;32.6;0.6;0.2;0.1;5.7;2.7;3.7;
3000000;"WIELKOPOLSKIE";2982656;9.5;64.5;26.4;1.3;0.4;0.3;1.5;1.2;4.5;
3200000;"ZACHODNIOPOMORSKIE";2290472;7.3;49.2;36.8;0.6;0.3;0.3;5.3;3.2;4.3;
