"Code";"Name";"population per 1 km2;2020;[person]";
0000000;"POLAND";122;
0200000;"DOLNOŚLĄSKIE";145;
0400000;"KUJAWSKO-POMORSKIE";115;
0600000;"LUBELSKIE";83;
0800000;"LUBUSKIE";72;
1000000;"ŁÓDZKIE";134;
1200000;"MAŁOPOLSKIE";225;
1400000;"MAZOWIECKIE";153;
1600000;"OPOLSKIE";104;
1800000;"PODKARPACKIE";119;
2000000;"PODLASKIE";58;
2200000;"POMORSKIE";128;
2400000;"ŚLĄSKIE";364;
2600000;"ŚWIĘTOKRZYSKIE";105;
2800000;"WARMIŃSKO-MAZURSKIE";59;
3000000;"WIELKOPOLSKIE";117;
3200000;"ZACHODNIOPOMORSKIE";74;
